date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:14	13825/13825	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:08:45%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.9.0	D:/web/wpdemo.archiwp.com/engitech/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.mind227.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:15	14965/14965	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:08:45%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.2	D:/web/wpdemo.archiwp.com/engitech/wp-content/plugins/wp-user-avatar/assets/select2/select2.minae48.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:15	12217/12217	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/bootstrap.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/bootstrap77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:17	57789/57789	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/font-awesome.min.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/font-awesome.min77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:17	3458/3458	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/flaticon.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/flaticon77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:17	1345/1345	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/slick.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/slick77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:17	1904/1904	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/slick-theme.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/slick-theme77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:18	6361/6361	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/magnific-popup.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/magnific-popup77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:19	160268/160268	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/style.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/style77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:21	1716/1716	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/inc/backend/css/simple-likes-public.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/inc/backend/css/simple-likes-public77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:21	5634/5634	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/royal-preload.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/royal-preload77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:21	21830/21830	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/woocommerce.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/themes/engitech/css/woocommerce77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:22	19777/19777	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:25	138579/138579	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2008:10:13%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/custom-frontend.min.css?ver=1678695013	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/custom-frontend.mina492.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:25	12876/12876	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:09:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	D:/web/wpdemo.archiwp.com/engitech/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:26	1138/1138	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2008:10:24%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/post-2821.css?ver=1678695024	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/post-28214245.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:27	9475/9475	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2008:10:17%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/global.css?ver=1678695017	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/global9b9e.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:28	30063/30063	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Mar%202023%2003:20:57%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/post-2274.css?ver=1679455257	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/elementor/css/post-22749aeb.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:30	13424/13424	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Apr%202023%2007:07:52%20GMT	http://wpdemo.archiwp.com/engitech/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	D:/web/wpdemo.archiwp.com/engitech/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from http://wpdemo.archiwp.com/engitech/)
10:51:33	89815/89815	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Apr%202023%2007:07:52%20GMT	http://wpdemo.archiwp.com/engitech/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	D:/web/wpdemo.archiwp.com/engitech/wp-includes/js/jquery/jquery.mina767.js	(from http://wpdemo.archiwp.com/engitech/)
10:51:35	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Tue,%2016%20May%202023%2010:51:35%20GMT	http://wpdemo.archiwp.com/engitech/wp-includes/wlwmanifest.xml	D:/web/wpdemo.archiwp.com/engitech/wp-includes/wlwmanifest.html	(from http://wpdemo.archiwp.com/engitech/)
10:51:36	2381/2381	---MC-	200	added ('OK')	application/json	date:Tue,%2016%20May%202023%2010:51:36%20GMT	http://wpdemo.archiwp.com/engitech/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwpdemo.archiwp.com%2Fengitech%2F	D:/web/wpdemo.archiwp.com/engitech/wp-json/oembed/1.0/embed455c.json	(from http://wpdemo.archiwp.com/engitech/)
10:51:37	2449/2449	---MC-	200	added ('OK')	text/xml	date:Tue,%2016%20May%202023%2010:51:37%20GMT	http://wpdemo.archiwp.com/engitech/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwpdemo.archiwp.com%2Fengitech%2F&format=xml	D:/web/wpdemo.archiwp.com/engitech/wp-json/oembed/1.0/embed3c48	(from http://wpdemo.archiwp.com/engitech/)
10:51:38	3705/3705	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2008:44:19%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2020/03/favicon.png	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2020/03/favicon.png	(from http://wpdemo.archiwp.com/engitech/)
10:51:40	79272/79272	---MC-	200	added ('OK')	application/json	date:Tue,%2016%20May%202023%2010:51:33%20GMT	http://wpdemo.archiwp.com/engitech/wp-json/wp/v2/pages/2274	D:/web/wpdemo.archiwp.com/engitech/wp-json/wp/v2/pages/2274.json	(from http://wpdemo.archiwp.com/engitech/)
10:51:45	13468/13468	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu72xMKTU1Kvnz.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu72xMKTU1Kvnz.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:45	8392/8392	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu5mxMKTU1Kvnz.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu5mxMKTU1Kvnz.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:47	1248/1248	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu7mxMKTU1Kvnz.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu7mxMKTU1Kvnz.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:48	6348/6348	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu4WxMKTU1Kvnz.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu4WxMKTU1Kvnz.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:48	4752/4752	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu7WxMKTU1Kvnz.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu7WxMKTU1Kvnz.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:50	10208/10208	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu7GxMKTU1Kvnz.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu7GxMKTU1Kvnz.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:51	52310/52310	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2025%20Sep%202020%2008:56:18%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2020/09/logo.svg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2020/09/logo.svg	(from http://wpdemo.archiwp.com/engitech/)
10:51:52	14384/14384	---M--	200	added ('OK')	font/woff	date:Fri,%2020%20May%202022%2010:54:04%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu4mxMKTU1Kg.woff	D:/web/wpdemo.archiwp.com/engitech/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu4mxMKTU1Kg.woff	(from http://wpdemo.archiwp.com/engitech/)
10:51:55	138296/138296	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20May%202023%2010:51:52%20GMT	http://wpdemo.archiwp.com/engitech/404	D:/web/wpdemo.archiwp.com/engitech/404	(from http://wpdemo.archiwp.com/engitech/)
10:51:58	267023/267023	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2001:10:02%20GMT	http://wpdemo.archiwp.com/engitech/home-2/	D:/web/wpdemo.archiwp.com/engitech/home-2/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:01	254869/254869	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2000:53:22%20GMT	http://wpdemo.archiwp.com/engitech/home-3/	D:/web/wpdemo.archiwp.com/engitech/home-3/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:05	291387/291387	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2010:03:08%20GMT	http://wpdemo.archiwp.com/engitech/home-4/	D:/web/wpdemo.archiwp.com/engitech/home-4/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:05	131414/131414	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:04:16%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/12/bg-pheader.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/12/bg-pheader.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:52:11	278592/278592	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2002:22:48%20GMT	http://wpdemo.archiwp.com/engitech/home-5/	D:/web/wpdemo.archiwp.com/engitech/home-5/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:12	292641/292641	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2004:54:51%20GMT	http://wpdemo.archiwp.com/engitech/home-6/	D:/web/wpdemo.archiwp.com/engitech/home-6/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:19	84624/84624	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:04:30%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project11.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project11.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:52:23	284797/284797	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2003:01:34%20GMT	http://wpdemo.archiwp.com/engitech/home-7/	D:/web/wpdemo.archiwp.com/engitech/home-7/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:25	320018/320018	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2007:32:15%20GMT	http://wpdemo.archiwp.com/engitech/home-8/	D:/web/wpdemo.archiwp.com/engitech/home-8/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:26	67347/67347	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:05:37%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project11-720x720.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project11-720x720.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:52:31	289698/289698	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2002:26:02%20GMT	http://wpdemo.archiwp.com/engitech/home-9/	D:/web/wpdemo.archiwp.com/engitech/home-9/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:32	272371/272371	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2010:01:23%20GMT	http://wpdemo.archiwp.com/engitech/home-10/	D:/web/wpdemo.archiwp.com/engitech/home-10/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:43	279276/279276	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2008:56:16%20GMT	http://wpdemo.archiwp.com/engitech/home-12/	D:/web/wpdemo.archiwp.com/engitech/home-12/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:47	270909/270909	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2003:01:24%20GMT	http://wpdemo.archiwp.com/engitech/home-13/	D:/web/wpdemo.archiwp.com/engitech/home-13/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:48	115629/115629	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:04:30%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project10.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project10.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:52:52	277907/277907	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2004:08:06%20GMT	http://wpdemo.archiwp.com/engitech/home-14/	D:/web/wpdemo.archiwp.com/engitech/home-14/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:52:54	85826/85826	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:05:38%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project10-720x720.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project10-720x720.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:52:59	287821/287821	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2004:29:40%20GMT	http://wpdemo.archiwp.com/engitech/home-15/	D:/web/wpdemo.archiwp.com/engitech/home-15/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:53:09	60471/60471	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:04:29%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project6.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project6.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:53:11	109093/109093	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2008:47:16%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project4-720x720.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project4-720x720.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:53:12	141149/141149	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2008:47:16%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project4.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project4.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:53:19	325202/325202	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2010:00:44%20GMT	http://wpdemo.archiwp.com/engitech/home-17/	D:/web/wpdemo.archiwp.com/engitech/home-17/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:53:22	288565/288565	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2002:12:28%20GMT	http://wpdemo.archiwp.com/engitech/home-16/	D:/web/wpdemo.archiwp.com/engitech/home-16/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:53:27	53093/53093	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:05:46%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project6-720x720.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project6-720x720.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:53:27	348805/348805	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2009:00:49%20GMT	http://wpdemo.archiwp.com/engitech/home-18/	D:/web/wpdemo.archiwp.com/engitech/home-18/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:53:33	249596/249596	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2010:07:00%20GMT	http://wpdemo.archiwp.com/engitech/about-us/	D:/web/wpdemo.archiwp.com/engitech/about-us/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:53:35	41654/41654	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2007:04:28%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project2.jpg	D:/web/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2019/11/project2.jpg	(from http://wpdemo.archiwp.com/engitech/)
10:53:35	363156/363156	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2004:29:49%20GMT	http://wpdemo.archiwp.com/engitech/home-19/	D:/web/wpdemo.archiwp.com/engitech/home-19/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:53:41	242791/242791	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2002:42:49%20GMT	http://wpdemo.archiwp.com/engitech/careers/	D:/web/wpdemo.archiwp.com/engitech/careers/index.html	(from http://wpdemo.archiwp.com/engitech/)
